timestamp,open,high,low,close,volume
1609315200,18.43,19.190001,18.43,18.74,336984.0
1609401600,18.74,18.879999,18.5,18.629999,55117.0
1609660800,18.629999,19.0,18.6,18.790001,41872.0
1609747200,18.790001,19.07,18.66,18.85,105379.0
1609833600,18.85,19.1,18.700001,18.92,49925.0
1609920000,18.92,18.969999,18.549999,18.65,111512.0
1610265600,18.65,19.01,18.65,18.969999,87569.0
1610352000,18.969999,19.23,18.799999,18.950001,32210.0
1610438400,18.950001,19.6,18.950001,19.26,117982.0
1610524800,19.26,19.26,18.610001,18.879999,35094.0
1610611200,18.879999,19.1,18.809999,18.950001,42605.0
1610870400,18.950001,19.17,18.940001,19.0,51037.0
1610956800,19.0,19.0,18.690001,18.780001,24293.0
1611043200,18.780001,20.35,18.76,19.860001,346278.0
1611129600,19.860001,20.65,19.860001,20.389999,161578.0
1611216000,20.389999,20.389999,19.91,20.030001,91327.0
1611475200,20.030001,20.24,19.549999,19.74,123305.0
1611561600,19.74,19.969999,19.0,19.6,105107.0
1611648000,19.6,20.09,19.540001,19.780001,78255.0
1611734400,19.780001,21.209999,19.780001,20.620001,214882.0
1612080000,20.620001,22.68,20.620001,22.450001,431394.0
1612166400,22.450001,23.5,22.4,22.93,244635.0
1612252800,22.93,23.0,22.02,22.559999,80645.0
1612339200,22.559999,22.84,21.9,22.129999,39285.0
1612425600,22.129999,22.33,21.84,22.0,63214.0
1612684800,22.0,23.0,21.799999,22.700001,70370.0
1612771200,22.700001,23.190001,21.809999,22.049999,42676.0
1612857600,22.049999,22.700001,22.0,22.25,48730.0
1612944000,22.25,22.799999,22.0,22.120001,57976.0
1613030400,22.120001,22.120001,21.66,21.889999,11115.0
1613289600,21.889999,22.75,21.889999,22.280001,90936.0
1613376000,22.280001,24.440001,22.280001,23.860001,311730.0
1613462400,23.860001,24.4,22.6,23.42,66792.0
1613548800,23.42,23.42,22.049999,22.42,86225.0
1613635200,22.42,23.15,22.0,22.65,57787.0
1613894400,22.65,23.389999,22.25,22.950001,18050.0
1613980800,22.950001,24.370001,22.4,23.709999,150213.0
1614067200,23.709999,23.9,23.0,23.35,65533.0
1614153600,23.35,23.700001,22.68,22.98,203942.0
1614240000,22.98,23.440001,22.4,22.73,77381.0
1614499200,22.73,23.4,22.110001,22.57,46901.0
1614585600,22.57,22.940001,22.17,22.440001,19763.0
1614672000,22.440001,22.790001,21.700001,22.32,47455.0
1614758400,22.32,22.32,20.709999,21.219999,37157.0
1614844800,21.219999,22.0,21.0,22.0,40321.0
1615104000,21.700001,22.4,21.66,22.01,46665.0
1615190400,22.01,22.02,21.120001,21.75,62286.0
1615276800,21.75,21.75,20.73,21.27,73239.0
1615363200,21.27,21.27,20.5,20.700001,15099.0
1615449600,20.700001,22.57,20.700001,21.959999,64806.0
1615708800,21.959999,22.5,21.66,22.040001,21332.0
1615795200,22.040001,22.040001,19.860001,21.280001,46102.0
1615881600,21.280001,21.280001,20.01,20.51,19970.0
1615968000,20.51,21.700001,20.51,20.82,13546.0
1616054400,20.82,20.98,20.5,20.82,4275.0
1616313600,20.82,21.370001,19.799999,20.41,55760.0
1616400000,20.41,20.41,18.370001,18.66,76334.0
1616486400,18.66,18.66,16.860001,17.27,59515.0
1616572800,17.27,18.440001,17.0,17.75,83651.0
1616659200,17.75,18.389999,16.809999,17.74,72673.0
1616918400,17.74,18.200001,17.74,18.08,12390.0
1617004800,18.08,18.98,17.700001,18.49,56096.0
1617091200,18.49,18.870001,18.049999,18.440001,22069.0
1617177600,18.440001,19.280001,18.440001,18.809999,62353.0
1617264000,18.809999,20.0,18.809999,19.57,53067.0
1617523200,19.57,19.57,18.73,18.959999,17986.0
1617609600,18.959999,18.959999,17.07,17.309999,118980.0
1617696000,17.309999,17.6,16.07,16.76,84846.0
1617782400,16.76,17.469999,16.76,17.18,30542.0
1617868800,17.18,17.68,17.17,17.459999,24339.0
1618128000,17.459999,17.950001,17.459999,17.73,21836.0
1618214400,17.73,18.0,17.51,17.73,23078.0
1618300800,17.73,17.73,16.1,16.74,48718.0
1618387200,16.74,17.0,16.25,16.360001,13928.0
1618473600,16.360001,16.92,16.299999,16.540001,17758.0
1618732800,16.540001,17.59,16.540001,17.110001,14084.0
1618819200,17.110001,17.5,17.0,17.25,12536.0
1618905600,17.25,17.5,17.0,17.34,32793.0
1618992000,17.34,18.200001,17.34,17.82,75497.0
1619078400,17.82,18.0,17.549999,17.799999,24957.0
1619337600,17.799999,18.18,17.799999,17.969999,53628.0
1619424000,17.969999,18.0,17.5,17.68,11660.0
1619510400,17.68,18.16,17.6,17.91,20434.0
1619596800,17.91,18.139999,17.35,17.65,20246.0
1620115200,17.65,19.41,17.65,19.24,193597.0
1620201600,19.24,19.9,18.879999,19.190001,103688.0
1620288000,19.190001,19.190001,18.700001,18.959999,30290.0
1620547200,18.959999,19.200001,18.700001,18.85,26940.0
1620633600,18.85,18.950001,18.549999,18.68,28621.0
1620720000,18.68,19.889999,18.68,19.440001,35167.0
1621238400,19.440001,19.700001,19.26,19.4,13463.0
1621324800,19.4,19.75,19.0,19.42,81619.0
